grid_type,game_id,game_event_id,id,name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,shot_made_numeric,shot_value,person_id_shot_chart,shot_id,loc_x2,opponent,fga,fgm,x3fga,x3fgm,x2fga,x2fgm,Laker_uniform
Shot Chart Detail,0022000002,10,2544,LeBron James,1610612747,Los Angeles Lakers,1,11,3,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1.5,31.65,1,missed,2020-12-22,LAL,LAC,0,3,2544,s1,3,LAC,1,0,1,0,0,0,ICON
Shot Chart Detail,0022000002,44,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-3,30.55,1,missed,2020-12-22,LAL,LAC,0,3,2544,s2,-6,LAC,1,0,1,0,0,0,ICON
Shot Chart Detail,0022000002,54,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,14,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1.8,6.85,1,missed,2020-12-22,LAL,LAC,0,2,2544,s3,3.6,LAC,1,0,0,0,1,0,ICON
Shot Chart Detail,0022000002,58,2544,LeBron James,1610612747,Los Angeles Lakers,1,6,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,22.7,10.65,1,made,2020-12-22,LAL,LAC,1,3,2544,s4,45.4,LAC,1,1,1,1,0,0,ICON
Shot Chart Detail,0022000002,166,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,38,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1.3,7.25,1,missed,2020-12-22,LAL,LAC,0,2,2544,s5,2.6,LAC,1,0,0,0,1,0,ICON
Shot Chart Detail,0022000002,332,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1.1,6.75,1,missed,2020-12-22,LAL,LAC,0,2,2544,s6,-2.2,LAC,1,0,0,0,1,0,ICON
Shot Chart Detail,0022000002,343,2544,LeBron James,1610612747,Los Angeles Lakers,2,1,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-0.8,6.75,1,made,2020-12-22,LAL,LAC,1,2,2544,s7,-1.6,LAC,1,1,0,0,1,1,ICON
Shot Chart Detail,0022000002,360,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0.8,7.75,1,made,2020-12-22,LAL,LAC,1,2,2544,s8,1.6,LAC,1,1,0,0,1,1,ICON
Shot Chart Detail,0022000002,393,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-14.3,27.35,1,made,2020-12-22,LAL,LAC,1,3,2544,s9,-28.6,LAC,1,1,1,1,0,0,ICON
Shot Chart Detail,0022000002,397,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,51,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-0.4,6.55,1,made,2020-12-22,LAL,LAC,1,2,2544,s10,-0.8,LAC,1,1,0,0,1,1,ICON
